YEAR,MM,DD,tmed,tmax,tmin,Ra,Rain
1992,6,6,21.5,28.8,14.2,23.01,0
1992,6,7,23.8,28.8,18.8,22.95,0
1992,6,8,24,30,18,22.9,0
1992,6,9,23.1,29.6,16.6,22.84,0
1992,6,10,21.6,26.8,16.4,22.8,0
1992,6,11,20.9,25,16.8,22.77,0
1992,6,12,20.1,25.4,14.8,22.73,0
1992,6,13,18.8,24,13.6,22.7,0
1992,6,14,18.4,23.6,13.2,22.66,0
1992,6,15,17.3,22.6,12,22.63,0
1992,6,16,17.8,24,11.6,22.6,0
1992,6,17,17.7,24,11.4,22.58,0
1992,6,18,17.7,23.8,11.6,22.57,0
1992,6,19,16.5,22,11,22.56,0
1992,6,20,17.5,23.8,11.2,22.55,0
1992,6,21,20.2,26,14.4,22.55,0
1992,6,22,20.2,26.6,13.8,22.55,0
1992,6,23,20,26.6,13.4,22.55,0
1992,6,24,20.2,27.2,13.2,22.56,0
1992,6,25,20.9,27.4,14.4,22.58,0
1992,6,26,20.6,26.8,14.4,22.59,0
1992,6,27,20.2,26.6,13.8,22.61,0
1992,6,28,20.4,27,13.8,22.64,0
1992,6,29,19,23.2,14.8,22.66,0.2
1992,6,30,21.1,26.8,15.4,22.7,0
1992,7,1,21.9,28.2,15.6,22.73,0
1992,7,2,22.5,29.4,15.6,22.77,0
1992,7,3,21.5,27.4,15.6,22.81,0
1992,7,4,18.9,24.2,13.6,22.86,0
1992,7,5,20.6,26,15.2,22.9,0
1992,7,6,21.1,27.8,14.4,22.96,0
1992,7,7,19.5,26.8,12.2,23.02,5.8
1992,7,8,12.3,13.8,10.8,23.08,7.6
1992,7,9,13,14.8,11.2,23.15,12.6
1992,7,10,17.4,23.6,11.2,23.22,0
1992,7,11,17.2,23.6,10.8,23.28,0
1992,7,12,19.1,24.4,13.8,23.36,0
1992,7,13,19.8,26.2,13.4,23.44,0
1992,7,14,19.5,26,13,23.53,0
1992,7,15,20.1,26.8,13.4,23.61,0
1992,7,16,21.1,28,14.2,23.7,0
1992,7,17,19.8,25.2,14.4,23.79,0
1992,7,18,19.7,25,14.4,23.89,0
1992,7,19,21.7,29,14.4,23.98,0
1992,7,20,16.9,22.4,11.4,24.09,0
1992,7,21,19,26,12,24.19,0
1992,7,22,19.7,26.2,13.2,24.3,0
1992,7,23,17.4,24.6,10.2,24.41,0
